org_id,Organoid quality
org1_0518,High quality
org2_0518,High quality
org3_0518,High quality
org3_0609,High quality
org4_0518,High quality
org5_0518,High quality
org6_0518,High quality
org7_0518,High quality
org8_0518,High quality
org9_0518,High quality
org1_0523,Low quality
org1_0530,Low quality
org1_0602,Low quality
org1_0609,Low quality
org1_0615,Low quality
org1_0622,Low quality
org1_0630,Low quality
org1_0707,Low quality
org2_0523,Low quality
org2_0530,Low quality
org2_0602,Low quality
org2_0609,Low quality
org2_0615,Low quality
org2_0622,Low quality
org2_0630,Low quality
org3_0523,Low quality
org3_0530,Low quality
org3_0602,Low quality
org3_0615,Low quality
org3_0622,Low quality
org4_0523,Low quality
org4_0530,Low quality
org4_0602,Low quality
org4_0609,Low quality
org4_0615,Low quality
org5_0523,Low quality
org5_0530,Low quality
org5_0602,Low quality
org5_0609,Low quality
org6_0523,Low quality
org6_0530,Low quality
org6_0602,Low quality
org7_0523,Low quality
org7_0530,Low quality
org8_0523,Low quality
