Stroma; POLYGON; 128, 128, 128; 343,764;345,764;346,764;348,764;349,764;353,766;
Specular reflection; POLYGON; 191, 91, 22; 171,733;170,735;170,736;169,736;169,737;168,738;168,739;168,740;168,743;169,743;169,744;169,745;169,746;169,747;169,748;169,749;168,750;167,750;166,751;165,751;165,752;164,752;163,752;163,751;164,750;165,748;166,747;166,746;167,746;169,734;169,732;169,731;168,730;167,730;166,730;165,729;164,729;163,730;162,730;161,730;161,731;160,731;159,732;158,733;157,734;155,736;151,740;151,742;150,743;150,744;149,744;149,745;149,746;148,747;148,748;147,748;146,749;145,750;144,751;143,752;143,753;143,754;142,754;142,755;141,756;139,760;139,762;139,763;139,764;139,765;139,766;140,766;140,768;140,769;140,770;140,771;140,772;140,773;140,774;140,775;140,776;140,777;139,780;139,781;139,782;139,783;139,784;139,786;139,791;139,792;139,793;139,794;139,795;139,796;139,797;139,798;140,798;140,800;143,806;144,807;145,808;145,809;145,810;146,810;147,810;148,812;149,812;149,813;149,814;150,814;151,815;155,818;156,819;157,820;158,820;159,820;160,820;161,820;162,821;163,821;164,822;165,822;168,822;169,822;171,823;172,823;173,823;174,823;175,823;176,823;176,824;177,824;181,824;182,824;185,823;186,822;187,821;188,820;189,819;189,818;190,816;190,814;190,806;188,799;187,798;187,797;186,797;186,796;185,796;185,795;184,793;183,792;183,791;182,790;181,788;178,784;178,783;177,783;177,782;177,781;177,780;177,779;177,778;177,777;177,776;177,775;177,774;177,773;177,772;176,772;176,771;176,770;176,769;176,768;177,767;177,766;177,765;177,764;177,763;177,762;178,762;178,761;179,761;179,762;180,762;181,762;181,763;181,764;181,765;182,765;182,766;183,767;183,768;184,768;185,769;185,770;186,770;187,770;188,771;189,771;190,771;191,771;191,770;192,770;193,770;194,770;195,769;196,768;197,768;197,767;197,766;198,765;198,764;198,763;198,762;198,761;198,760;198,759;197,758;197,757;197,756;196,756;196,755;195,755;195,754;194,753;193,752;193,751;193,750;192,750;192,749;192,748;192,747;192,746;193,746;194,746;195,746;196,746;197,746;199,745;200,745;201,745;201,746;202,746;203,746;204,746;205,747;206,748;207,748;208,749;209,749;210,750;211,750;212,750;213,749;213,748;214,748;215,747;215,746;216,746;217,745;217,744;217,743;218,743;218,742;219,740;219,739;218,739;217,737;215,735;214,734;213,733;212,732;212,731;211,730;209,728;209,727;208,726;207,725;205,724;202,721;201,720;200,720;199,720;199,719;198,719;197,718;196,718;196,717;195,717;195,716;194,716;192,716;191,717;190,717;189,718;188,718;187,719;185,720;184,721;183,722;182,722;181,723;180,724;179,725;178,726;177,726;177,727;176,728;175,730;174,731;173,732;173,734;172,736;171,742;170,743;170,744;170,745;171,746;172,746;173,746;
Specular reflection; POLYGON; 191, 91, 22; 143,682;142,684;142,685;141,686;141,688;141,689;140,692;140,693;139,697;141,703;142,704;143,705;143,706;143,707;143,708;144,710;144,712;145,712;145,714;145,716;145,717;145,718;145,719;145,720;145,721;145,722;145,723;145,724;146,724;147,725;148,726;149,726;152,727;155,727;157,727;158,726;159,726;160,726;161,726;162,725;163,724;164,723;165,722;166,722;167,720;168,719;169,716;170,712;170,711;170,710;171,710;171,709;171,708;171,707;171,706;171,705;171,704;171,703;171,702;171,701;171,700;171,698;170,698;169,697;168,696;166,694;165,693;164,693;164,692;163,692;163,691;163,690;162,690;162,689;162,688;162,687;162,686;162,685;163,685;164,684;165,684;165,683;166,682;167,682;167,681;168,680;169,680;169,679;170,678;171,678;173,676;173,675;174,674;175,674;175,673;175,672;176,672;177,670;178,670;179,668;179,667;180,666;180,665;181,665;181,664;181,663;181,662;181,661;181,660;181,657;181,656;180,656;180,655;180,654;179,654;179,652;178,652;177,650;175,648;174,647;173,646;172,646;171,646;170,646;169,646;168,646;167,647;167,648;166,648;165,648;165,649;164,649;163,650;162,650;161,650;161,651;160,652;153,659;152,662;150,664;150,666;149,666;148,668;147,670;147,671;146,672;145,673;145,674;144,674;143,675;143,676;142,676;141,678;141,679;141,680;141,681;141,682;141,683;143,685;
Specular reflection; POLYGON; 191, 91, 22; 124,717;123,719;122,724;122,725;122,726;122,727;122,728;122,729;122,730;122,731;122,732;122,736;122,738;122,739;123,739;123,740;124,740;124,741;125,741;125,742;126,743;126,744;127,744;127,745;129,746;132,748;133,748;134,748;135,749;136,750;137,750;138,751;140,751;141,751;142,751;143,751;144,751;145,751;146,750;147,750;147,748;148,746;149,744;149,742;149,741;150,740;150,738;151,735;151,732;152,730;152,727;149,712;148,711;147,710;146,710;143,710;142,709;141,708;138,708;137,708;136,707;135,707;134,706;133,706;131,706;131,707;131,708;128,710;127,712;125,712;125,713;125,714;125,715;127,721;129,722;
Specular reflection; POLYGON; 191, 91, 22; 119,741;118,742;118,743;117,744;117,745;117,747;116,748;115,749;115,751;115,752;113,754;113,755;111,756;110,756;109,757;109,758;108,759;108,760;108,761;108,762;107,763;107,764;106,765;101,770;101,771;100,771;100,772;99,772;98,772;97,772;97,773;96,773;95,773;95,774;94,775;93,776;93,777;93,778;92,779;92,780;92,781;92,784;92,786;93,788;93,789;94,789;95,790;96,791;97,792;97,793;98,793;98,794;100,794;101,794;103,794;104,793;105,793;106,792;107,792;108,792;109,792;110,792;111,792;111,793;111,794;112,794;113,794;113,795;115,795;117,797;117,798;118,798;119,798;119,799;120,800;121,800;122,800;123,801;123,802;125,804;125,805;125,806;126,806;126,807;127,807;127,808;128,808;129,808;131,809;134,809;135,810;136,810;137,810;137,811;137,812;138,812;139,813;139,814;140,815;140,816;140,817;141,819;141,821;141,822;141,823;141,824;141,825;141,826;142,826;142,827;143,827;142,828;141,828;139,828;138,828;137,828;136,828;135,828;134,828;133,828;133,829;132,829;131,830;130,830;129,830;129,831;128,831;127,832;126,833;125,835;125,836;125,837;125,838;125,839;125,840;126,841;127,842;128,843;129,844;131,844;133,844;134,844;135,844;136,844;137,844;138,844;139,844;140,844;141,844;142,844;143,843;144,842;147,842;148,841;149,840;150,840;152,839;153,838;154,838;155,838;156,838;156,837;157,837;158,836;159,836;159,835;160,834;161,833;161,832;161,831;162,830;163,828;163,827;163,826;163,825;163,824;164,824;164,823;164,822;164,821;164,820;164,818;164,816;164,814;163,813;163,812;163,811;163,810;162,809;161,808;159,806;159,805;158,805;157,804;156,804;155,804;155,803;154,802;154,801;154,800;153,800;153,799;152,798;151,798;151,797;149,796;148,793;148,792;148,791;148,790;148,789;148,788;149,787;149,786;149,785;149,784;149,783;149,782;149,781;149,780;149,779;149,777;149,775;149,774;149,772;149,771;149,770;149,769;149,768;149,767;149,764;149,763;149,762;150,761;150,760;150,758;151,757;151,756;151,755;151,752;151,750;151,749;149,746;142,740;141,740;139,740;137,740;136,740;135,740;134,740;133,740;131,740;129,741;128,741;127,742;126,742;125,742;124,742;123,742;122,742;121,743;121,744;120,744;120,745;121,746;123,747;124,748;
Specular reflection; POLYGON; 191, 91, 22; 246,654;245,655;245,656;244,656;243,656;243,657;242,658;240,664;240,666;240,667;240,668;241,669;241,670;241,671;241,672;242,672;243,672;243,673;244,673;245,674;246,674;247,674;248,675;249,675;249,676;251,676;252,678;253,678;253,679;253,680;254,680;255,681;256,681;257,681;258,681;259,681;260,681;260,682;261,682;262,682;263,682;264,682;265,682;265,683;266,683;267,683;268,683;269,683;270,682;271,682;271,681;272,680;273,680;273,679;275,678;278,675;279,675;279,674;280,674;280,673;281,673;281,672;282,672;283,671;283,670;284,670;285,669;285,667;287,665;287,664;288,664;288,663;289,663;289,662;289,661;289,660;290,660;290,658;291,657;291,656;291,655;291,654;291,653;291,652;291,651;290,650;285,646;283,645;281,644;280,644;279,644;278,644;278,643;277,643;276,643;275,643;274,644;273,645;273,646;272,646;270,648;269,649;269,650;268,651;268,653;268,656;268,657;268,658;268,659;268,660;269,661;269,662;269,663;268,663;268,664;267,664;266,664;265,664;264,664;262,663;259,660;258,659;257,658;256,657;255,656;255,655;254,654;253,653;253,652;251,651;251,650;250,650;249,650;248,650;247,650;247,649;246,649;245,649;244,649;243,649;242,649;241,649;240,649;239,650;239,651;239,652;239,653;239,654;240,654;240,655;241,656;242,656;243,657;244,657;245,658;
Specular reflection; POLYGON; 191, 91, 22; 219,664;219,665;218,665;218,666;217,666;217,667;216,668;216,671;216,672;216,673;217,673;217,674;217,675;217,676;218,676;218,677;218,678;218,679;218,680;217,683;217,684;217,685;217,686;217,687;217,688;217,689;217,690;218,691;219,692;220,692;221,692;221,693;222,693;223,693;224,693;225,693;226,693;227,693;227,692;228,692;229,691;229,690;229,689;229,688;230,688;230,687;231,686;231,685;231,684;231,682;232,681;232,680;232,679;232,678;232,677;232,676;232,675;232,674;232,673;232,672;232,671;232,670;232,669;231,668;231,667;231,666;230,665;230,664;229,664;228,663;227,662;226,662;225,662;223,662;222,662;221,662;219,662;219,663;219,664;220,665;221,666;221,667;
Specular reflection; POLYGON; 191, 91, 22; 222,695;222,696;222,697;222,698;222,699;222,700;222,701;222,702;223,702;223,703;224,704;225,704;226,705;227,706;233,708;234,708;235,708;236,708;237,708;237,707;238,707;239,707;239,706;240,706;241,704;241,703;242,703;242,702;243,701;243,700;243,699;243,698;243,697;242,696;242,694;241,694;241,692;241,690;240,688;239,687;238,686;237,686;234,685;229,686;227,686;226,686;225,686;224,686;223,686;224,686;225,686;
Specular reflection; POLYGON; 191, 91, 22; 286,563;284,566;283,566;283,568;282,568;281,569;281,570;280,571;279,572;273,576;272,577;272,578;272,579;272,580;273,581;273,582;273,583;274,584;275,585;275,586;276,587;277,587;278,587;279,587;280,587;281,587;282,587;283,587;283,588;284,588;285,588;286,588;287,588;288,588;291,585;295,582;296,582;297,581;297,580;298,580;299,579;299,578;300,578;301,577;301,576;302,576;303,575;303,574;304,572;305,569;307,565;307,564;308,564;309,563;309,562;309,561;309,560;309,559;309,558;308,557;306,555;301,553;298,553;296,553;294,554;292,554;290,554;288,555;285,556;283,556;281,557;279,558;277,558;276,558;276,559;277,559;283,560;
Specular reflection; POLYGON; 191, 91, 22; 314,592;313,592;312,593;311,594;309,594;307,595;306,596;305,596;304,596;303,596;302,596;300,596;299,596;297,597;296,599;294,602;293,603;293,604;293,605;293,606;293,607;293,608;293,609;294,610;295,611;296,612;297,612;297,613;299,614;300,615;301,616;302,618;304,619;305,620;306,620;307,620;308,620;309,621;311,621;312,621;313,621;314,622;315,622;316,622;317,622;318,622;319,622;320,622;321,622;322,622;323,621;324,621;325,621;326,621;327,620;329,620;330,620;331,620;332,619;333,618;334,618;335,618;335,617;336,617;337,616;337,615;338,615;338,614;339,614;339,613;340,612;340,611;341,608;341,602;341,601;341,600;341,598;341,596;341,595;341,594;341,593;340,593;339,592;338,592;337,592;335,591;333,590;331,590;329,590;327,590;325,590;318,590;313,594;314,595;
Specular reflection; POLYGON; 191, 91, 22; 329,556;329,557;329,558;329,559;329,560;330,560;330,561;333,562;337,565;338,566;339,566;340,566;341,566;341,567;342,567;343,567;344,567;345,567;348,567;349,567;350,566;351,566;352,566;353,565;354,564;355,564;355,563;356,563;356,562;357,561;358,559;358,558;358,557;358,556;358,555;358,554;358,553;358,552;356,550;346,546;343,546;341,546;340,547;338,547;337,547;337,548;336,548;335,549;335,550;335,551;334,552;334,553;334,554;334,555;334,556;335,556;335,557;338,559;347,560;
