Vein; POLYGON; 63, 72, 204; 100,147;102,147;103,147;105,147;107,147;110,147;113,147;116,147;119,147;120,147;122,147;123,147;125,147;126,147;127,147;128,147;129,147;130,147;132,147;133,147;134,147;136,146;138,145;140,144;142,144;143,144;145,143;148,142;151,142;152,141;154,140;155,140;157,140;158,140;159,138;160,137;161,137;162,137;163,136;164,136;165,135;166,135;168,135;169,133;170,132;170,131;171,131;172,130;173,129;175,129;176,129;178,129;180,128;181,127;182,126;183,125;184,124;184,123;186,122;187,122;189,122;190,122;193,122;194,122;196,122;197,122;198,122;199,121;200,120;201,119;202,119;205,118;206,118;207,118;209,118;211,118;212,118;214,118;217,117;218,116;219,115;220,115;223,115;224,115;227,115;229,115;230,113;232,113;233,113;234,112;235,112;237,112;239,112;241,112;244,112;246,112;248,112;249,112;251,111;252,110;253,110;253,109;254,108;254,107;255,107;256,107;257,107;258,107;260,107;262,107;263,107;264,105;265,105;265,104;265,103;266,103;267,102;267,101;268,101;268,100;268,99;269,98;270,98;271,97;271,96;271,95;273,94;274,93;275,93;277,92;278,92;278,91;280,91;280,90;281,89;283,89;283,88;284,88;286,88;287,87;288,87;289,86;291,85;291,84;292,84;293,84;294,83;296,83;297,82;299,82;300,81;301,81;302,80;302,79;304,79;305,79;306,79;307,79;309,78;310,78;312,78;313,78;314,77;316,77;318,77;321,77;325,77;327,77;329,77;331,77;333,77;334,77;335,77;337,77;338,77;339,77;341,77;342,77;343,77;344,77;345,77;346,77;348,77;349,77;350,77;351,77;352,77;353,77;354,77;356,77;357,77;358,77;359,77;360,77;362,77;363,77;365,77;366,77;367,77;369,76;371,76;372,75;373,75;373,74;374,74;375,74;376,74;378,74;380,74;380,73;382,73;383,73;384,73;385,73;387,72;388,72;389,71;391,71;392,71;393,71;394,71;395,71;396,71;398,70;399,70;400,68;401,68;403,68;404,68;406,68;407,67;409,67;412,67;413,67;414,66;415,66;416,66;418,65;420,65;422,65;423,65;424,64;425,63;425,62;426,61;428,61;428,59;428,58;428,57;428,55;428,54;428,53;428,52;427,50;427,49;426,48;425,47;423,47;422,47;420,46;418,46;416,45;414,44;413,44;412,44;411,44;410,44;409,44;407,44;405,44;403,44;401,44;399,44;398,44;397,44;394,44;392,44;390,44;389,44;387,44;385,44;384,44;383,44;381,44;380,44;378,44;376,44;374,44;373,44;370,44;368,44;367,44;366,44;364,44;363,44;362,44;360,44;358,44;356,44;355,44;352,44;351,44;350,44;348,44;347,44;345,44;344,44;343,45;341,45;339,45;338,45;336,45;335,45;334,45;332,45;330,45;329,45;327,46;324,46;323,46;320,46;319,46;317,46;316,46;315,46;314,46;313,46;312,47;311,47;310,47;309,48;307,48;305,48;301,48;300,48;298,48;297,48;296,49;295,49;293,49;292,49;291,49;290,49;289,50;287,50;284,51;282,51;279,51;277,51;276,52;275,52;274,53;273,53;272,53;271,54;269,54;268,54;266,55;264,55;262,56;259,56;257,57;254,57;252,58;251,58;250,58;248,58;247,58;245,59;241,59;240,60;239,60;238,60;236,60;235,60;233,62;230,62;229,62;227,63;225,63;223,65;221,65;220,65;219,66;217,66;215,66;213,66;211,67;209,68;208,68;208,69;206,69;205,69;204,69;203,69;202,69;201,69;199,69;199,70;198,70;197,70;196,70;195,71;193,71;192,71;190,71;189,71;188,71;187,71;186,71;185,71;184,71;183,71;183,72;182,72;180,72;178,74;177,74;175,74;174,75;172,75;171,75;169,76;168,76;167,77;166,77;165,78;164,78;162,79;161,79;160,80;159,80;157,81;156,82;155,82;154,82;153,82;152,83;151,83;149,83;148,84;147,84;146,84;145,86;144,86;143,87;142,88;141,88;140,89;139,90;136,90;135,90;134,91;133,91;132,93;131,93;129,94;128,95;127,95;125,95;124,95;123,96;122,96;121,97;120,97;119,99;118,99;117,99;115,101;114,101;112,101;111,102;110,103;109,104;108,104;108,105;107,106;106,107;105,107;104,107;102,108;101,108;99,108;99,109;98,109;97,110;95,110;94,111;93,111;92,111;90,112;88,112;87,112;85,113;84,113;83,113;82,113;81,113;80,113;79,113;78,113;77,113;77,114;76,114;75,115;74,115;73,115;72,115;71,116;71,117;70,118;69,118;68,119;67,120;67,121;67,122;67,123;67,124;67,125;67,126;67,127;67,128;67,129;67,130;67,131;67,132;68,133;69,133;71,135;74,136;75,138;76,138;77,138;77,139;79,139;80,139;81,140;82,140;84,140;85,141;86,141;87,141;88,141;89,141;90,141;91,141;92,141;93,141;94,141;95,141;97,141;98,141;99,141;100,141;101,141;102,141;103,141;104,141;104,142;106,143;107,143;108,144;109,144;110,144;111,144;113,145;114,145;116,147;117,148;120,149;123,151;126,151;128,151;129,151;
Specular reflection; POLYGON; 191, 91, 22; 586,580;585,581;583,582;582,582;581,583;580,583;579,585;578,586;576,586;576,587;575,588;573,589;572,589;571,591;571,592;571,593;571,594;570,596;570,597;569,598;568,600;568,601;568,602;568,603;568,604;568,605;568,606;568,608;568,609;568,610;569,611;570,612;571,613;572,613;574,613;575,614;577,615;579,616;583,618;584,618;585,618;587,618;589,618;590,618;591,618;593,618;595,618;596,619;597,619;598,619;600,619;601,619;602,619;603,619;604,619;605,619;606,619;607,619;608,619;609,619;610,619;611,619;612,620;613,620;614,620;616,620;618,621;618,622;620,623;623,624;624,624;625,625;626,626;626,627;626,628;626,629;626,630;626,631;626,633;626,634;626,635;626,636;626,637;624,639;622,639;621,639;618,640;617,640;614,641;611,642;608,643;607,643;604,644;601,644;598,644;595,644;592,644;589,645;586,645;585,646;583,647;582,647;581,648;580,648;579,648;579,649;576,650;575,651;575,652;574,652;573,652;572,654;571,654;570,655;569,657;569,658;569,659;569,660;568,661;568,662;568,663;568,665;568,666;568,668;568,669;568,670;568,671;568,672;568,674;568,675;568,676;569,677;569,678;571,679;572,679;573,679;574,680;576,681;577,681;578,681;579,682;580,682;581,682;583,682;588,683;590,683;592,684;593,684;594,684;595,685;596,685;598,685;600,686;602,686;603,686;604,686;605,686;606,686;608,686;609,686;612,686;614,686;615,686;615,685;616,685;617,685;618,685;619,684;621,682;622,682;622,680;623,679;624,679;624,678;625,678;626,677;627,677;627,676;628,676;628,675;630,674;630,673;631,673;633,672;634,671;635,671;636,671;637,669;639,668;640,668;641,668;642,668;643,668;645,668;648,667;649,667;649,666;651,666;652,666;653,665;654,665;655,665;658,665;659,665;661,665;662,665;664,665;665,665;668,665;671,665;673,665;676,665;677,665;679,665;682,665;683,665;685,665;688,665;689,665;691,665;694,665;696,666;698,666;700,666;701,666;701,667;702,667;704,668;704,669;705,669;708,669;709,669;710,670;713,671;715,671;716,671;717,672;720,673;721,674;723,675;725,675;727,676;729,676;730,676;732,677;733,677;734,678;736,678;738,678;739,679;740,680;741,680;743,680;744,680;745,680;746,680;747,680;748,680;750,680;751,680;752,680;753,680;754,680;755,680;756,680;757,680;758,680;758,679;759,679;761,678;763,678;764,678;765,677;766,676;767,675;768,674;769,674;770,673;771,673;773,672;774,671;774,669;775,668;775,667;777,666;777,664;777,663;777,662;777,661;777,659;777,657;777,655;777,654;777,653;777,652;777,651;777,649;777,648;777,647;777,646;776,645;775,644;772,642;771,642;769,641;768,641;767,641;767,640;765,640;764,640;763,640;760,640;759,640;757,639;756,639;755,639;754,639;753,639;752,639;749,639;746,637;744,637;742,637;741,637;740,637;739,637;737,637;736,637;735,637;734,637;733,637;732,639;731,639;730,641;730,642;730,644;730,645;729,647;728,647;728,649;727,650;725,651;724,651;723,652;722,652;722,653;721,653;719,653;718,653;717,653;714,653;713,653;710,653;708,653;706,653;704,653;702,653;701,653;699,653;698,653;696,653;696,652;694,651;694,650;692,648;690,647;689,647;688,646;687,645;685,642;684,640;683,639;683,638;683,637;683,636;683,635;682,633;681,632;681,631;679,629;678,628;677,625;676,624;676,623;674,622;674,621;673,620;672,619;671,618;670,617;669,617;667,617;667,616;665,616;664,616;663,615;660,615;660,614;659,614;658,614;657,614;656,614;655,614;654,614;653,612;652,612;651,611;650,611;650,610;649,610;649,609;649,608;649,606;649,605;647,604;645,602;644,601;644,600;644,599;644,598;644,597;643,596;643,595;642,594;642,593;641,593;641,592;641,591;640,591;639,590;638,587;636,587;634,585;631,584;627,582;625,580;624,580;622,579;621,579;620,579;619,579;617,579;616,579;613,578;612,578;610,578;609,578;607,578;606,578;605,578;603,578;602,578;601,578;599,578;598,578;596,578;595,578;594,578;593,578;592,578;591,578;589,578;587,578;585,578;584,578;583,578;582,578;581,579;580,579;579,579;578,579;577,580;576,580;574,582;574,583;
Specular reflection; POLYGON; 191, 91, 22; 789,562;787,562;786,562;785,564;784,564;783,566;782,567;781,568;780,569;778,569;777,569;777,570;776,570;775,571;775,572;774,572;774,573;773,574;771,576;770,576;769,577;768,577;767,578;767,581;766,582;766,583;766,584;765,584;764,586;764,587;764,588;764,589;764,591;764,592;764,593;764,594;763,594;763,595;763,596;763,599;763,600;763,601;763,603;763,604;764,605;765,606;767,606;769,606;771,608;772,608;776,609;778,609;780,610;781,610;783,611;784,611;785,611;787,612;788,612;790,612;793,612;794,612;797,613;798,613;800,614;804,614;805,614;807,614;808,614;809,614;810,614;812,614;813,614;814,614;815,614;817,614;818,614;819,614;820,614;821,614;822,614;823,614;824,614;825,614;826,614;827,614;828,614;829,614;830,613;831,613;832,612;832,611;833,611;833,610;834,610;834,608;834,607;834,606;834,604;834,603;835,603;835,601;835,600;835,599;835,598;835,597;835,595;835,593;835,592;835,591;835,590;835,589;835,588;835,586;835,585;836,584;837,583;837,582;838,580;840,578;841,577;843,577;845,577;847,576;848,574;849,573;850,571;851,571;852,571;852,570;853,569;853,568;853,567;853,566;853,564;853,562;853,561;853,560;853,559;852,559;851,556;850,556;848,556;847,555;846,555;845,555;844,555;842,555;838,555;835,555;834,555;833,555;832,555;831,555;830,555;829,555;825,555;822,555;821,555;818,555;815,555;813,555;811,555;810,555;809,555;808,555;807,555;806,555;805,555;804,555;803,555;801,555;800,555;799,555;797,556;795,557;794,557;791,559;789,559;787,560;786,562;784,562;783,563;782,564;781,564;781,565;780,566;779,567;778,568;778,569;778,570;778,571;778,573;778,576;780,579;781,580;782,582;782,584;782,585;
Specular reflection; POLYGON; 191, 91, 22; 639,731;638,731;637,731;635,731;634,731;633,731;632,731;630,731;629,731;628,731;626,731;625,732;624,733;622,734;620,734;619,734;618,735;617,735;617,736;617,737;617,739;617,740;617,741;615,743;614,745;614,746;614,747;614,748;614,749;614,751;614,753;614,754;614,757;614,758;614,759;615,760;616,761;617,762;617,763;618,764;619,765;620,766;620,767;621,769;622,770;623,771;623,772;624,772;624,773;624,775;624,776;626,777;627,778;628,781;629,783;629,784;630,785;631,786;633,788;634,790;635,790;637,791;638,792;638,794;638,795;639,796;640,796;641,797;641,798;642,798;642,800;643,801;644,802;645,804;647,806;648,807;649,807;649,808;649,810;649,811;649,812;649,813;650,815;650,816;651,818;651,819;651,820;652,821;652,822;653,823;654,826;655,826;656,827;656,829;656,830;658,831;661,834;662,834;663,835;664,835;664,836;665,836;666,837;667,837;668,838;669,838;670,839;673,840;675,840;677,840;679,840;682,841;685,841;689,841;691,841;693,841;694,841;695,841;696,841;698,841;699,841;700,841;701,840;701,839;703,837;704,836;705,836;706,836;709,837;711,838;713,839;714,839;716,839;719,840;722,842;723,842;726,844;727,844;728,845;729,845;730,847;732,847;735,850;736,851;737,851;738,851;739,851;741,852;743,852;745,852;746,853;747,853;748,853;749,853;750,853;751,853;752,853;752,852;753,851;753,849;753,848;753,847;753,845;753,844;753,843;754,843;754,842;754,841;754,839;754,838;754,836;754,835;754,833;754,832;754,831;754,827;754,825;754,824;754,822;753,820;753,818;752,817;752,816;752,814;752,813;752,812;752,810;751,810;751,808;750,807;750,806;750,804;750,803;748,802;748,800;748,799;747,798;747,797;746,797;746,796;745,795;745,793;745,792;745,790;745,789;744,789;744,788;743,787;743,786;742,786;741,786;739,785;738,784;736,784;735,784;733,784;732,784;731,784;730,784;729,784;728,784;727,783;726,782;725,782;723,782;722,782;721,782;719,780;718,778;717,778;715,776;714,776;713,774;712,774;711,774;709,772;708,771;707,771;706,771;705,770;703,769;701,767;700,767;699,767;698,767;696,765;695,764;694,762;692,762;692,761;691,760;690,760;689,759;688,759;687,756;686,755;685,754;685,753;685,752;683,750;682,747;680,746;677,743;673,741;671,739;670,738;669,737;668,736;668,735;667,733;667,732;666,730;666,729;663,727;661,726;658,725;656,724;655,723;652,722;650,721;648,721;647,721;645,721;643,720;642,720;641,720;640,720;639,720;638,720;636,720;635,720;634,720;633,720;632,720;630,720;630,724;630,728;630,730;630,734;630,736;
Specular reflection; POLYGON; 191, 91, 22; 582,792;580,792;580,791;578,789;578,788;576,786;575,786;573,785;571,784;571,783;570,783;569,783;567,782;565,782;562,782;561,781;560,781;559,781;558,781;557,781;556,781;553,781;552,781;551,781;551,783;551,784;550,785;550,786;550,787;549,789;548,790;547,791;547,793;547,795;547,796;547,797;547,798;547,799;547,801;547,802;547,803;547,804;548,804;549,806;550,806;553,808;555,809;557,810;558,811;560,811;561,813;565,814;568,814;569,815;570,815;571,816;572,817;574,819;575,820;576,822;577,823;578,825;579,827;579,828;579,829;579,831;579,832;579,833;579,834;579,835;579,836;579,838;579,839;580,840;580,841;581,843;581,845;582,846;582,847;582,848;582,849;582,850;582,851;582,852;582,854;582,855;582,857;582,858;582,859;582,861;582,862;582,863;582,864;582,866;581,867;581,868;581,870;580,870;578,873;577,874;576,874;575,875;574,876;574,877;573,877;573,878;572,879;571,880;570,881;569,882;569,883;568,886;568,887;568,889;568,891;568,892;568,893;568,894;568,895;568,896;568,898;568,899;568,902;568,903;569,905;570,906;570,908;572,910;573,912;574,914;576,915;576,916;577,916;578,917;579,918;581,920;583,920;585,920;587,920;589,921;590,921;592,922;593,922;594,922;597,923;599,923;601,923;602,923;605,923;607,924;609,924;611,925;612,925;613,926;614,926;616,928;617,930;618,930;619,931;619,933;621,935;621,936;622,937;623,938;623,939;624,941;625,943;625,946;625,947;626,948;626,949;627,950;627,951;628,952;629,953;629,954;629,955;630,955;630,956;631,958;634,960;635,960;637,961;638,962;640,965;641,965;642,966;644,967;646,969;647,970;650,972;651,973;652,974;654,975;655,976;655,977;655,978;657,978;658,980;659,980;661,982;661,984;662,985;663,985;664,986;666,987;667,987;669,988;670,989;672,989;673,990;674,990;675,991;676,991;677,991;678,991;680,992;681,993;682,993;683,993;684,993;685,993;687,993;688,993;689,993;690,993;692,993;693,993;695,993;696,993;697,993;698,993;699,992;700,992;703,990;703,989;704,989;705,988;706,987;706,986;707,985;708,984;708,982;710,980;711,979;712,978;715,977;716,977;716,976;718,975;718,974;718,973;719,972;720,972;720,970;722,969;723,968;724,967;724,966;726,965;726,964;727,963;727,962;728,961;729,959;729,958;729,956;729,955;729,954;729,951;729,949;729,948;729,945;729,943;729,942;727,939;725,936;723,933;722,932;720,931;719,930;718,930;717,930;715,930;714,930;713,929;711,929;708,929;705,929;703,929;702,929;701,929;699,929;698,929;697,927;695,927;694,927;692,927;691,927;690,927;690,926;689,925;689,924;688,923;687,922;687,921;687,920;687,919;687,918;687,917;687,916;687,915;687,914;687,913;687,911;687,910;687,909;687,908;687,907;687,906;687,905;687,904;687,902;687,901;687,900;687,899;687,898;687,897;687,896;687,894;687,893;687,891;685,890;685,889;684,889;683,888;683,887;681,885;680,884;678,884;676,883;674,883;671,883;668,883;667,883;666,883;665,883;664,883;663,883;662,883;660,883;658,883;657,883;656,883;655,883;654,883;652,882;651,881;649,880;647,878;647,877;646,877;645,877;644,876;643,876;643,875;641,874;640,871;639,870;638,869;637,867;636,865;633,864;632,862;631,861;630,859;629,859;628,858;627,856;626,856;625,854;623,852;622,851;621,850;621,848;620,846;619,845;618,843;617,843;617,841;616,839;615,837;615,836;614,834;613,833;610,832;610,831;609,828;608,827;606,825;605,823;604,822;602,820;602,817;601,817;601,815;601,814;601,813;598,812;598,811;598,810;598,809;598,807;596,805;596,804;596,803;596,802;595,801;594,800;594,799;594,798;593,798;591,795;590,794;589,793;586,790;585,790;584,788;583,788;582,787;582,786;581,786;579,784;578,784;577,783;575,782;572,782;570,780;569,780;568,780;567,780;
Specular reflection; POLYGON; 191, 91, 22; 380,471;378,471;377,471;376,471;374,471;372,471;372,472;369,472;368,473;367,473;366,474;364,477;363,478;362,479;359,480;357,480;356,481;355,482;354,483;352,485;351,486;350,486;349,487;344,487;343,487;340,489;339,490;336,492;335,492;334,492;331,492;329,492;326,492;324,492;322,492;321,492;319,492;318,492;317,492;314,492;311,492;309,492;306,492;302,492;298,492;294,492;292,492;290,492;288,492;287,492;285,492;284,492;283,491;280,489;276,487;273,487;272,487;270,485;269,484;269,483;268,482;267,482;265,481;265,479;263,476;262,475;261,473;261,472;261,469;261,468;260,468;259,466;259,465;259,464;258,463;258,462;258,461;258,460;257,458;257,457;257,456;256,455;255,452;254,451;254,450;253,449;252,449;251,448;250,446;248,444;247,441;245,439;245,438;244,438;243,438;242,438;242,437;241,437;239,436;238,435;236,434;232,432;231,431;228,431;226,430;225,430;224,429;223,429;222,429;221,427;220,427;220,426;220,425;219,425;219,424;219,423;218,422;218,421;218,420;218,419;218,418;218,417;218,416;218,415;218,413;218,412;218,410;218,409;218,408;219,407;221,405;222,404;223,403;224,401;227,399;228,399;230,397;231,396;233,395;233,394;234,393;234,392;234,391;235,389;236,389;237,388;238,386;240,385;241,384;242,383;243,382;243,381;243,379;243,378;244,378;244,376;244,375;244,374;244,373;244,372;244,371;244,369;244,368;244,366;244,365;244,363;243,363;242,362;241,361;241,360;239,359;238,358;237,356;235,356;235,355;234,354;234,353;232,351;230,350;228,349;226,348;225,348;225,347;225,346;225,344;225,343;225,342;225,341;225,339;225,338;225,337;225,336;225,335;225,334;225,332;225,331;225,330;225,329;225,328;226,326;226,325;226,324;227,324;228,323;228,322;228,321;229,320;229,319;229,318;230,318;230,317;231,316;232,316;232,315;232,314;233,314;233,313;233,312;235,312;235,311;236,311;236,310;237,310;238,310;239,310;240,310;241,310;242,310;243,311;246,312;248,314;250,316;251,316;252,316;253,317;254,317;255,318;256,318;261,322;262,322;263,322;265,324;266,325;267,325;268,327;271,328;272,329;274,329;274,330;276,331;277,331;277,332;277,333;278,333;279,334;281,335;282,336;283,337;284,339;284,340;285,340;286,341;287,343;287,344;288,345;289,345;290,345;292,345;293,345;294,345;295,345;295,346;296,346;297,347;298,348;299,349;300,350;301,351;302,352;302,354;302,355;302,357;305,358;305,359;305,361;305,363;305,364;305,365;305,366;305,367;305,368;305,369;305,370;305,371;305,372;304,374;304,375;303,377;302,377;301,377;300,378;299,378;298,379;297,379;296,379;295,379;294,381;293,381;293,382;292,382;291,382;290,382;288,382;286,382;285,382;283,383;283,384;283,385;283,387;283,388;283,390;284,391;285,392;286,393;287,394;288,395;289,396;292,397;294,398;297,401;298,401;302,402;304,403;307,404;308,404;309,404;311,404;312,405;313,405;315,407;316,407;320,408;321,409;322,409;323,410;324,410;324,411;324,412;324,413;325,414;325,415;325,416;325,417;327,417;329,419;330,420;332,422;334,424;336,426;336,427;338,428;339,429;340,430;341,430;343,432;345,434;345,435;348,436;350,437;351,438;353,440;354,441;355,441;357,441;358,442;359,442;360,442;360,443;361,443;362,444;363,444;364,445;365,446;367,447;368,447;370,448;372,449;373,449;374,449;375,449;375,450;376,451;376,452;377,454;378,454;379,454;379,455;379,456;379,458;379,459;379,460;379,461;379,463;379,464;379,466;379,469;379,470;379,471;378,472;377,472;376,472;375,472;374,472;
Specular reflection; POLYGON; 191, 91, 22; 665,468;664,468;663,468;661,468;659,468;658,468;657,468;656,469;655,470;655,471;653,473;651,473;650,474;650,475;650,477;650,478;650,479;650,480;650,481;650,483;649,483;649,484;649,485;649,487;649,488;649,489;649,490;649,491;649,492;649,493;651,495;653,496;653,497;654,497;655,498;657,498;659,499;660,499;661,499;663,499;664,499;665,499;666,499;668,499;669,499;670,498;671,498;672,498;672,497;672,496;674,495;675,495;675,494;676,493;677,493;678,493;679,493;680,492;682,491;682,490;683,489;685,488;685,486;686,486;686,485;686,484;686,483;686,482;686,481;686,480;686,479;685,478;684,476;683,476;683,475;682,475;681,474;680,473;679,472;678,472;677,471;676,471;673,471;672,471;671,471;670,471;669,471;668,470;667,470;666,470;665,470;663,470;662,470;661,470;660,469;658,469;656,468;655,468;654,466;653,466;652,466;651,466;650,466;
Specular reflection; POLYGON; 191, 91, 22; 498,896;497,896;496,896;495,896;493,896;492,896;488,895;485,894;481,894;479,894;476,894;475,894;474,894;473,894;471,894;470,895;469,895;468,895;468,896;467,897;467,898;467,900;467,901;465,902;463,903;463,904;461,905;461,906;460,906;460,907;460,908;459,908;459,909;458,911;456,912;456,913;455,913;454,913;453,913;452,913;451,915;450,915;450,916;449,916;449,918;449,919;448,919;447,920;445,922;444,922;441,922;440,922;438,922;435,924;433,925;432,925;431,925;430,926;429,926;427,926;426,926;424,926;423,926;422,926;421,926;420,926;419,926;417,927;416,928;415,929;413,929;412,929;411,930;409,931;408,931;407,932;406,932;404,933;402,934;401,934;399,934;398,934;397,934;396,935;396,936;396,937;396,939;396,940;396,942;396,943;396,944;396,946;398,948;400,950;401,951;403,952;405,953;406,955;408,956;410,958;414,962;414,963;415,963;417,964;418,965;419,965;419,967;420,968;421,969;422,970;423,970;424,970;425,971;429,972;431,973;432,974;433,975;435,976;436,976;437,977;438,977;441,977;443,980;445,980;446,980;447,981;448,982;449,983;450,983;451,983;452,983;453,983;454,984;455,984;455,985;456,986;458,987;459,988;460,989;461,989;462,989;463,991;464,991;467,993;468,994;469,994;470,995;472,995;474,995;475,995;475,997;477,998;478,998;479,998;480,998;481,998;482,998;483,998;485,998;486,998;487,997;488,997;488,996;489,995;490,995;491,994;492,992;492,991;493,990;494,988;496,987;496,986;497,985;497,984;498,983;498,982;498,981;499,979;499,978;499,977;500,976;500,975;500,974;500,973;500,971;501,969;501,968;502,966;502,965;502,963;502,962;503,961;503,960;503,959;503,958;504,957;504,956;504,955;504,954;504,951;505,950;505,949;507,949;507,948;508,947;508,945;508,944;510,942;511,941;511,940;512,939;513,939;513,938;514,937;515,937;516,937;517,936;518,936;519,936;519,935;520,934;520,933;521,933;521,932;522,932;522,931;522,930;523,928;523,927;524,926;525,924;525,923;525,921;525,919;525,918;525,917;525,916;525,915;525,914;525,913;525,911;524,909;524,908;524,907;524,906;523,905;523,904;521,902;520,901;517,899;515,898;512,897;512,896;511,896;510,896;509,896;508,896;507,896;506,896;504,895;501,894;500,894;497,894;494,894;492,894;491,894;490,894;489,894;488,894;487,894;486,894;485,894;484,894;483,894;482,894;480,894;479,894;478,894;476,894;
Specular reflection; POLYGON; 191, 91, 22; 413,907;412,907;411,907;410,908;409,908;407,910;405,910;405,911;402,912;401,912;400,913;399,914;399,915;397,915;396,915;395,915;393,915;392,915;390,915;388,915;386,913;385,912;385,911;384,909;384,908;383,907;383,906;383,905;383,903;383,902;382,901;382,900;382,899;382,898;382,897;382,896;382,895;382,894;382,893;382,891;382,890;382,889;382,888;383,887;383,886;383,885;383,884;384,884;384,883;384,882;384,881;383,881;382,880;381,880;379,880;377,878;376,877;375,876;374,876;374,875;374,873;374,872;374,871;374,870;374,869;375,869;376,869;377,867;379,867;379,866;380,865;381,865;382,865;384,863;386,863;388,861;390,860;390,859;392,859;392,858;394,857;394,855;395,855;395,854;396,854;397,853;399,852;399,851;399,849;400,848;400,847;400,846;401,846;401,845;401,843;401,842;401,841;401,840;401,839;402,838;402,837;402,836;403,835;403,834;403,833;403,831;404,831;406,830;407,829;408,829;410,829;411,829;412,829;413,828;414,828;416,828;417,827;418,827;420,826;421,825;422,825;424,824;425,824;426,824;427,823;428,823;428,822;429,822;429,821;429,820;430,820;432,819;433,818;434,818;435,818;436,818;437,817;438,817;439,817;441,817;442,817;444,817;446,817;447,817;448,817;450,817;452,817;453,818;455,818;455,820;455,821;456,822;456,823;456,824;457,825;457,826;458,827;458,828;458,829;458,830;458,832;457,834;457,835;455,836;455,839;454,840;453,841;452,842;452,844;451,845;450,846;450,847;449,849;448,850;447,850;446,851;445,852;444,853;443,855;441,856;441,857;440,858;440,859;439,861;437,864;435,867;433,869;432,870;432,871;432,872;432,874;432,875;431,877;430,879;430,880;430,882;430,883;429,883;429,884;428,887;428,888;428,889;426,892;425,895;425,896;425,897;424,898;424,899;423,899;422,900;420,901;418,902;415,903;413,903;412,903;410,905;409,906;408,906;407,907;406,907;406,909;405,911;403,913;403,914;402,916;402,918;400,921;400,922;
Specular reflection; POLYGON; 191, 91, 22; 972,464;972,463;971,463;970,463;969,463;968,463;967,463;965,463;964,464;963,464;962,464;961,465;960,465;959,465;958,465;957,467;956,467;956,468;955,468;955,470;953,472;952,473;951,475;949,475;947,476;946,477;945,477;945,478;944,478;943,480;942,480;942,481;941,482;941,483;940,483;939,485;938,485;937,486;937,487;936,488;935,489;934,491;934,492;934,493;934,494;934,496;936,497;939,498;943,498;945,499;949,499;950,499;951,499;952,499;953,499;954,499;955,500;956,500;957,500;958,500;960,500;961,500;963,500;964,500;965,500;967,501;968,501;970,502;971,502;972,502;973,502;974,502;976,502;977,503;978,503;979,503;979,505;980,505;981,505;982,505;983,505;984,505;985,506;986,506;987,506;988,506;989,506;990,506;991,506;992,506;992,505;993,504;994,504;995,503;995,502;995,499;995,498;995,497;996,497;996,496;996,495;996,494;996,493;996,492;997,491;997,490;997,489;997,488;997,487;997,486;997,485;997,484;997,483;997,481;994,479;992,476;989,472;987,471;985,469;984,469;984,467;983,467;980,466;979,466;977,465;975,463;972,463;971,461;970,461;969,461;968,461;967,460;967,459;966,459;965,459;964,458;
Specular reflection; POLYGON; 191, 91, 22; 104,381;103,381;102,381;101,381;100,381;99,381;98,381;97,381;96,382;95,383;94,383;93,383;92,383;91,383;90,383;89,383;87,383;86,383;85,383;84,383;83,383;81,384;80,384;80,385;79,386;78,387;78,388;78,389;78,390;78,391;77,392;76,393;75,393;75,394;74,394;73,395;71,395;70,395;68,395;66,395;63,395;61,395;59,395;58,395;57,395;56,395;55,395;54,395;53,395;52,395;51,395;50,395;49,395;48,395;48,394;48,393;48,392;48,391;48,390;48,389;48,387;49,385;51,384;54,384;55,384;56,384;58,382;58,381;59,380;60,379;61,378;62,378;64,378;65,378;66,378;67,378;68,377;70,376;72,375;73,375;75,374;76,374;77,373;77,372;79,372;80,372;83,372;84,372;85,372;87,370;88,370;89,370;90,370;91,370;93,368;94,368;96,368;96,367;97,367;98,367;100,367;101,367;103,367;105,367;106,367;108,367;109,367;110,367;111,367;112,367;113,367;114,367;115,367;115,369;115,370;115,371;115,372;115,373;115,374;115,375;115,376;115,377;115,378;115,379;114,379;112,380;111,380;109,381;108,381;107,381;106,382;104,382;103,382;101,383;100,383;99,383;98,383;96,383;95,383;93,383;
